; MIDTERM PROJECT
; RUN IN TUTORIALSPOINT ONLINE ASSEMBLY COMPILER
; GROCERY STOCKS INVENTORY SYSTEM
; ttl = title
; lbl = label
; txt = text/data
; len = string length

; STARTING OF TEXT SECTION
section	.text
	global _start           ; must be declared for using gcc
_start:                     	; tell linker entry point
; PRINT TITLES
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, ttl_University
    mov     edx, len_University
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, ttl_Department
    mov     edx, len_Department
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, ttl_Course
    mov     edx, len_Course
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, ttl_SchoolYear
    mov     edx, len_SchoolYear
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, ttl_ProgramTitle
    mov     edx, len_ProgramTitle
    int     80h
; END OF PRINTING TITLES
    
; READ INPUTS
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, ttl_Enter_Data
    mov     edx, len_Enter_Data
    int     80h
; PRODUCT ONE
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_Product_One
    mov     edx, len_Product_One
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_ProductIdNo
    mov     edx, len_ProductIdNo
    int     80h
    
    mov     eax, 3
    mov     ebx, 0
    mov     ecx, txt_One_ProductIdNo
    mov     edx, 16
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_Name
    mov     edx, len_Name
    int     80h
    
    mov     eax, 3
    mov     ebx, 0
    mov     ecx, txt_One_Name
    mov     edx, 16
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_Quantity
    mov     edx, len_Quantity
    int     80h
    
    mov     eax, 3
    mov     ebx, 0
    mov     ecx, txt_One_Quantity
    mov     edx, 16
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_UnitPrice
    mov     edx, len_UnitPrice
    int     80h
    
    mov     eax, 3
    mov     ebx, 0
    mov     ecx, txt_One_UnitPrice
    mov     edx, 16
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_ExpiryDate
    mov     edx, len_ExpiryDate
    int     80h
    
    mov     eax, 3
    mov     ebx, 0
    mov     ecx, txt_One_ExpiryDate
    mov     edx, 16
    int     80h
; PRODUCT TWO
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_Product_Two
    mov     edx, len_Product_Two
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_ProductIdNo
    mov     edx, len_ProductIdNo
    int     80h
    
    mov     eax, 3
    mov     ebx, 0
    mov     ecx, txt_Two_ProductIdNo
    mov     edx, 16
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_Name
    mov     edx, len_Name
    int     80h
    
    mov     eax, 3
    mov     ebx, 0
    mov     ecx, txt_Two_Name
    mov     edx, 16
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_Quantity
    mov     edx, len_Quantity
    int     80h
    
    mov     eax, 3
    mov     ebx, 0
    mov     ecx, txt_Two_Quantity
    mov     edx, 16
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_UnitPrice
    mov     edx, len_UnitPrice
    int     80h
    
    mov     eax, 3
    mov     ebx, 0
    mov     ecx, txt_Two_UnitPrice
    mov     edx, 16
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_ExpiryDate
    mov     edx, len_ExpiryDate
    int     80h
    
    mov     eax, 3
    mov     ebx, 0
    mov     ecx, txt_Two_ExpiryDate
    mov     edx, 16
    int     80h
; PRODUCT THREE
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_Product_Three
    mov     edx, len_Product_Three
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_ProductIdNo
    mov     edx, len_ProductIdNo
    int     80h
    
    mov     eax, 3
    mov     ebx, 0
    mov     ecx, txt_Three_ProductIdNo
    mov     edx, 16
    int     80h
    
    mov     eax, 4
    mov     ebx, 1
    mov     ecx, lbl_Name
    mov     edx, len_Name
    int     80h
    
    mov     eax, 3
